epoch,accuracy,false_positives,learning_rate,loss,pr_auc,precision,roc_auc,sensitivity,true_negatives,val_accuracy,val_false_positives,val_loss,val_pr_auc,val_precision,val_roc_auc,val_sensitivity,val_true_negatives
0,0.8144212365150452,1636.0,0.0003000000142492354,0.40854889154434204,0.8995955586433411,0.8247080445289612,0.8959105014801025,0.7983611822128296,8014.0,0.9153157472610474,154.0,0.26305994391441345,0.9689960479736328,0.9233830571174622,0.967332661151886,0.904483437538147,1927.0
1,0.9000570178031921,761.0,0.0003000000142492354,0.26236996054649353,0.9596587419509888,0.9175961017608643,0.9584965705871582,0.8789544701576233,8889.0,0.9247519969940186,89.0,0.2210385501384735,0.9745619297027588,0.9536216855049133,0.973206102848053,0.8918128609657288,1992.0
2,0.9116168022155762,694.0,0.0003000000142492354,0.23824861645698547,0.9649871587753296,0.9255684018135071,0.9649810791015625,0.8951353430747986,8956.0,0.9298330545425415,87.0,0.2046690583229065,0.976601243019104,0.9550619721412659,0.9763944745063782,0.9010721445083618,1994.0
3,0.915608286857605,654.0,0.0003000000142492354,0.22840425372123718,0.9662595987319946,0.929835855960846,0.967406690120697,0.8989731073379517,8996.0,0.9341882467269897,123.0,0.2020530253648758,0.9775747060775757,0.9392892122268677,0.9775511622428894,0.9273878931999207,1958.0
4,0.9226582050323486,612.0,0.0003000000142492354,0.21450498700141907,0.9702630043029785,0.9347060918807983,0.9707799553871155,0.9087231755256653,9038.0,0.9363658428192139,105.0,0.19338151812553406,0.9776958227157593,0.9474737644195557,0.9781299829483032,0.9230019450187683,1976.0
5,0.9216215014457703,632.0,0.0003000000142492354,0.21456646919250488,0.9711425304412842,0.9327158331871033,0.9711490273475647,0.9087231755256653,9018.0,0.9344301819801331,84.0,0.19155587255954742,0.9788191914558411,0.956900954246521,0.9782617092132568,0.9088693857192993,1997.0
6,0.9235394597053528,601.0,0.0003000000142492354,0.21264497935771942,0.9715459942817688,0.9358454346656799,0.9711376428604126,0.9093455076217651,9049.0,0.938543438911438,116.0,0.19308656454086304,0.9789212942123413,0.9428571462631226,0.9791300296783447,0.932748556137085,1965.0
7,0.9265978932380676,570.0,0.0003000000142492354,0.20806163549423218,0.972017765045166,0.9391350746154785,0.9723958373069763,0.912249743938446,9080.0,0.9399951696395874,115.0,0.18683740496635437,0.9800292253494263,0.9434611797332764,0.9807869791984558,0.9351851940155029,1966.0
8,0.9248872399330139,601.0,0.0003000000142492354,0.20879943668842316,0.9717668890953064,0.9360229969024658,0.9715708494186401,0.9120423197746277,9049.0,0.9378175735473633,102.0,0.18897047638893127,0.9794026613235474,0.9489744901657104,0.979052722454071,0.9244639277458191,1979.0
9,0.9261832237243652,564.0,0.0003000000142492354,0.20462022721767426,0.9728795289993286,0.9396468997001648,0.9732769727706909,0.910797655582428,9086.0,0.9409629702568054,96.0,0.18105891346931458,0.9804878830909729,0.9520000219345093,0.9808586835861206,0.9278752207756042,1985.0
10,0.9262868762016296,583.0,0.0003000000142492354,0.2041466385126114,0.9727516174316406,0.9378796219825745,0.9735782742500305,0.9129758477210999,9067.0,0.9407210350036621,122.0,0.18546181917190552,0.9804738759994507,0.9405168294906616,0.9811686873435974,0.9400584697723389,1959.0
11,0.9282048344612122,558.0,0.0003000000142492354,0.19952695071697235,0.9732556939125061,0.9404609203338623,0.9746045470237732,0.9142205119132996,9092.0,0.9387853741645813,93.0,0.18203014135360718,0.9800935983657837,0.953148603439331,0.9800916910171509,0.9220272898674011,1988.0
